"Ne"	"n_p"	"r_m"	"z1_opt"	"z2_opt"	"r_selection"	"ln_z1"	"ln_z2"	"var1"	"var_2"
"178"	1000	40	0.9	1	1	0.9	0.0125137125868806	0.0123514793938158	0.00699241405062829	0.0040637188745334
"179"	1000	40	0.9	1	1	-0.5	0.0094163729889021	-0.0110892310141633	0.00344674030621034	0.00448398830350255
"180"	1000	40	0.9	1	1	-0.9	-0.0085769395055076	0.00816380041343077	0.00337260253943077	0.00236002014836421
"181"	1000	40	0.5	10	1	0	0.0890669537953242	0.00943217771618418	0.00342516227649927	0.00301825970919256
"182"	1000	40	0.5	10	1	0.5	0.114234597987153	-0.0165255452061693	0.00611231667537997	0.00732272035198464
"183"	1000	40	0.5	10	1	0.9	0.342688926811641	-0.231993459202028	0.0061950977486782	0.00697984150921298
"184"	1000	40	0.5	10	1	-0.5	0.164117511331244	0.124002343291461	0.00467054896782089	0.00464783343452886
"185"	1000	40	0.5	10	1	-0.9	0.614322745119896	0.573881961296825	0.00284345697520783	0.00367240667730212
"186"	1000	40	0.5	10	10	0	0.163902966038216	0.164502524410716	0.0044968887074126	0.00443499550620477
"187"	1000	40	0.5	10	10	0.5	0.102125367852888	0.111985196983373	0.00760764599383598	0.00411054702324227
"188"	1000	40	0.5	10	10	0.9	0.088816942300375	0.0634641627011976	0.00376347454923775	0.00491430616310321
"189"	1000	40	0.5	10	10	-0.5	0.314408216101814	0.294712470048545	0.00461526390023254	0.00556208750400601
"190"	1000	40	0.5	10	10	-0.9	1.15722253226048	1.16414487798438	0.00274342292696618	0.00323813510619751
"191"	1000	40	0.5	10	0.1	0	0.0637246782745755	-0.0866027845088472	0.00461545638088899	0.00399969388816776
"192"	1000	40	0.5	10	0.1	0.5	0.154108746668972	-0.135237599714303	0.00672578942289714	0.00692617705155413
"193"	1000	40	0.5	10	0.1	0.9	0.593638890062986	-0.595659098906709	0.0035966769603204	0.00514872064665503
"194"	1000	40	0.5	10	0.1	-0.5	0.042113013662497	-0.0523300381467346	0.00360893185269199	0.004880011684654
"195"	1000	40	0.5	10	0.1	-0.9	0.0299760378539354	-0.0347337761195592	0.00263120945811258	0.00221107974953215
